STATUS | wrapper  | 2018/08/03 21:32:20 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2018/08/03 21:32:20 | Java Service Wrapper Community Edition 64-bit 3.5.28
STATUS | wrapper  | 2018/08/03 21:32:20 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2018/08/03 21:32:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2018/08/03 21:32:20 | 
STATUS | wrapper  | 2018/08/03 21:32:20 | Launching a JVM...
INFO   | jvm 1    | 2018/08/03 21:32:21 | WrapperManager: Initializing...
INFO   | jvm 1    | 2018/08/03 21:32:22 | 
INFO   | jvm 1    | 2018/08/03 21:32:22 |   .   ____          _            __ _ _
INFO   | jvm 1    | 2018/08/03 21:32:22 |  /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
INFO   | jvm 1    | 2018/08/03 21:32:22 | ( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
INFO   | jvm 1    | 2018/08/03 21:32:22 |  \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
INFO   | jvm 1    | 2018/08/03 21:32:22 |   '  |____| .__|_| |_|_| |_\__, | / / / /
INFO   | jvm 1    | 2018/08/03 21:32:22 |  =========|_|==============|___/=/_/_/_/
INFO   | jvm 1    | 2018/08/03 21:32:22 |  :: Spring Boot ::        (v1.3.3.RELEASE)
INFO   | jvm 1    | 2018/08/03 21:32:22 | 
INFO   | jvm 1    | 2018/08/03 21:32:22 | 2018-08-03 21:32:22.448  INFO 29407 --- [erSimpleAppMain] c.x.example.ExampleStartApplication      : Starting ExampleStartApplication on localhost.localdomain with PID 29407 (/root/xinwei-example/xinwei-wrapper-example/target/xinwei-wrapper-plugin-example-1.0/xinwei-wrapper-example-1.0-SNAPSHOT/lib/xinwei-wrapper-example-1.0-SNAPSHOT.jar started by root in /root/xinwei-example/xinwei-wrapper-example/target/xinwei-wrapper-plugin-example-1.0/xinwei-wrapper-example-1.0-SNAPSHOT/bin)
INFO   | jvm 1    | 2018/08/03 21:32:22 | 2018-08-03 21:32:22.452  INFO 29407 --- [erSimpleAppMain] c.x.example.ExampleStartApplication      : No active profile set, falling back to default profiles: default
INFO   | jvm 1    | 2018/08/03 21:32:22 | 2018-08-03 21:32:22.558  INFO 29407 --- [erSimpleAppMain] ationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@5e9f0207: startup date [Fri Aug 03 21:32:22 CST 2018]; root of context hierarchy
INFO   | jvm 1    | 2018/08/03 21:32:23 | 2018-08-03 21:32:23.653  INFO 29407 --- [erSimpleAppMain] o.s.b.f.s.DefaultListableBeanFactory     : Overriding bean definition for bean 'beanNameViewResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
INFO   | jvm 1    | 2018/08/03 21:32:24 | 2018-08-03 21:32:24.544  INFO 29407 --- [erSimpleAppMain] s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 80 (http)
INFO   | jvm 1    | 2018/08/03 21:32:24 | 2018-08-03 21:32:24.585  INFO 29407 --- [erSimpleAppMain] o.apache.catalina.core.StandardService   : Starting service Tomcat
